Date,Visitor,PTS,Home,PTS_2
2024-11-04,Howard,57,Kansas,87
2024-11-04,UNC Asheville,54,Alabama,110
2024-11-04,Jackson St,40,Houston,97
2024-11-04,Miss Valley St,44,Iowa State,83
2024-11-04,Baylor,63,Gonzaga,101
2024-11-04,Maine,62,Duke,96
2024-11-04,Elon,76,North Carolina,90
2024-11-04,Canisius,64,Arizona,93
2024-11-04,Gardner-Webb,64,Tennessee,80
2024-11-04,Texas A&M,61,UCF,64
2024-11-04,Texas A&M-CC,73,Purdue,90
2024-11-04,Stony Brook,62,Marquette,102
2024-11-04,Ohio State,80,Texas,72
2024-11-04,AR-Pine Bluff,54,Cincinnati,109
2024-11-04,South Florida,83,Florida,98
2024-11-04,Rider,50,UCLA,85
2024-11-04,Wright St,62,Kentucky,103
2024-11-04,Long Island,60,Ole Miss,90
2024-11-05,FIU,70,Rice,77
2024-11-05,SUNY Canton,62,Colgate,95
2024-11-05,Toccoa Falls,61,Kennesaw St,110
2024-11-05,Evansville,63,North Texas,80
2024-11-05,Bethune,61,Texas Tech,94
2024-11-05,New Orleans,65,Kansas St,89
2024-11-05,Idaho St,48,Arizona St,55
2024-11-05,C Arkansas,50,BYU,88
2024-11-05,Cal Poly,78,San Francisco,86
2024-11-05,Cal Maritime,44,Sacramento St,106
2024-11-05,UC Davis,73,Washington,79
2024-11-06,Sacred Heart,56,UConn,92
2024-11-06,Vermont,43,Auburn,94
2024-11-06,UT Rio Grande,86,Creighton,99
2024-11-06,Lipscomb,60,Arkansas,76
2024-11-06,SIUE,61,Indiana,80
2024-11-06,Wagner,52,Rutgers,75
2024-11-07,Jacksonville,60,Florida,81
2024-11-08,North Carolina,89,Kansas,92
2024-11-08,Arkansas St,79,Alabama,88
2024-11-08,Army,58,Duke,100
2024-11-08,E Texas A&M,55,Texas A&M,87
2024-11-08,N Kentucky,50,Purdue,72
2024-11-08,George Mason,63,Marquette,82
2024-11-08,Hou Christian,59,Texas,90
2024-11-08,Morehead St,56,Cincinnati,83
2024-11-08,New Mexico,72,UCLA,64
2024-11-08,Grambling,64,Ole Miss,66
2024-11-09,New Hampshire,53,UConn,92
2024-11-09,Auburn,74,Houston,69
2024-11-09,Baylor,72,Arkansas,67
2024-11-09,Old Dominion,44,Arizona,102
2024-11-09,Tennessee,77,Louisville,55
2024-11-09,Bucknell,72,Kentucky,100
2024-11-10,Arizona St,80,Gonzaga,88
2024-11-10,FDU,70,Creighton,96
2024-11-10,E Illinois,55,Indiana,90
2024-11-11,McNeese,64,Alabama,72
2024-11-11,Kansas City,56,Iowa State,82
2024-11-11,Yale,84,Purdue,92
2024-11-11,C Michigan,62,Marquette,70
2024-11-11,Grambling,62,Florida,86
2024-11-11,Youngstown St,47,Ohio State,81
2024-11-11,Lamar,71,Texas A&M,97
2024-11-11,Saint Peter's,65,Rutgers,75
2024-11-12,Michigan St,69,Kansas,77
2024-11-12,Duke,72,Kentucky,77
2024-11-12,Sam Houston,67,Baylor,104
2024-11-12,South Alabama,54,Ole Miss,64
2024-11-13,Le Moyne,49,UConn,90
2024-11-13,Kent State,56,Auburn,79
2024-11-13,Louisiana,45,Houston,91
2024-11-13,Montana,57,Tennessee,92
2024-11-13,Hou Christian,43,Creighton,78
2024-11-13,Troy,49,Arkansas,65
2024-11-13,Wagner,45,St John's,66
2024-11-14,Utah Valley,71,North Dakota,77
2024-11-14,Lindenwood,74,New Orleans,82
2024-11-14,E Michigan,74,IU Indy,71
2024-11-14,N Greenville,54,The Citadel,79
2024-11-14,FL National,55,FIU,110
2024-11-14,Dkta Wesleyan,69,South Dakota,92
2024-11-14,Coppin St,67,UMBC,92
2024-11-14,Stonehill,51,Robert Morris,63
2024-11-14,SC State,62,Jacksonville,71
2024-11-14,Bryant,87,Buffalo,64
2024-11-14,Nicholls,61,N Kentucky,59
2024-11-14,Ecclesia,48,UL Monroe,110
2024-11-14,Northern Iowa,73,Wichita St,79
2024-11-14,Miss Valley St,39,Missouri,111
2024-11-14,Tabor,57,Tarleton St,88
2024-11-14,Morehead St,62,Chattanooga,76
2024-11-14,S Illinois,78,Oklahoma St,85
2024-11-14,CO Christian,63,Denver,86
2024-11-14,N Colorado,78,S Dakota St,69
2024-11-14,Grand Canyon,76,Arizona St,87
2024-11-14,LSU,76,Kansas St,65
2024-11-14,Texas A&M-CC,82,New Mexico St,83
2024-11-14,La Sierra,51,UC Riverside,79
2024-11-14,Seattle U,71,Cal Poly,75
2024-11-14,Omaha,69,UNLV,80
2024-11-14,N Arizona,60,Pacific,57
2024-11-15,Alabama,78,Purdue,87
2024-11-15,UMass Lowell,54,Gonzaga,113
2024-11-15,Arizona,88,Wisconsin,103
2024-11-15,American,55,North Carolina,107
2024-11-15,Marquette,78,Maryland,74
2024-11-15,Nicholls,49,Cincinnati,86
2024-11-15,Florida,87,Florida St,74
2024-11-15,Ohio State,64,Texas A&M,78
2024-11-15,Monmouth,81,Rutgers,98
2024-11-16,Oakland,57,Kansas,78
2024-11-16,Wofford,35,Duke,86
2024-11-16,Kansas City,56,Creighton,79
2024-11-16,South Carolina,71,Indiana,87
2024-11-16,Colorado St,69,Ole Miss,84
2024-11-17,Austin Peay,68,Tennessee,103
2024-11-17,Tarleton St,41,Baylor,104
2024-11-17,New Mexico,71,St John's,85
2024-11-18,Gonzaga,80,San Diego St,67
2024-11-18,North Alabama,69,Auburn,102
2024-11-18,IU Indy,52,Iowa State,87
2024-11-18,UT Rio Grande,84,Wisconsin,87
2024-11-18,Pacific,72,Arkansas,91
2024-11-19,UNC Wilmington,66,Kansas,84
2024-11-19,E Texas A&M,46,UConn,81
2024-11-19,Purdue,58,Marquette,76
2024-11-19,Lipscomb,68,Kentucky,97
2024-11-19,Cincinnati,76,N Kentucky,60
2024-11-19,Florida A&M,60,Florida,84
2024-11-20,Long Beach St,41,Gonzaga,84
2024-11-20,Illinois,87,Alabama,100
2024-11-20,Southern,54,Texas A&M,71
2024-11-20,Merrimack,63,Rutgers,74
2024-11-21,Virginia,42,Tennessee,64
2024-11-21,Baylor,99,St John's,98
2024-11-21,UNC Greensboro,58,Indiana,69
2024-11-22,Hofstra,44,Houston,80
2024-11-22,Jackson St,59,Kentucky,108
2024-11-22,North Carolina,87,Hawai’i,69
2024-11-22,Tennessee,77,Baylor,62
2024-11-22,Duke,69,Arizona,55
2024-11-22,Nebraska,74,Creighton,63
2024-11-22,UCF,70,Wisconsin,86
2024-11-22,Little Rock,67,Arkansas,79
2024-11-22,S Illinois,68,Florida,93
2024-11-22,Virginia,55,St John's,80
2024-11-23,Marshall,45,Purdue,80
2024-11-23,Georgia,69,Marquette,80
2024-11-23,Cincinnati,81,Georgia Tech,58
2024-11-23,MD Eastern,40,Illinois,87
2024-11-24,Wisconsin,81,Pitt,75
2024-11-24,St John's,63,Georgia,66
2024-11-24,Rutgers,77,Kennesaw St,79
2024-11-25,Memphis,99,UConn,97
2024-11-25,Auburn,83,Iowa State,81
2024-11-25,Dayton,90,North Carolina,92
2024-11-25,MD Eastern,35,Arkansas,109
2024-11-25,Xavier,75,South Carolina,66
2024-11-26,Kansas,75,Duke,72
2024-11-26,UConn,72,Colorado,73
2024-11-26,Auburn,85,North Carolina,72
2024-11-26,Iowa State,89,Dayton,84
2024-11-26,Alabama,85,Houston,80
2024-11-26,Western KY,68,Kentucky,87
2024-11-26,Texas A&M,70,Oregon,80
2024-11-26,Creighton,53,San Diego St,71
2024-11-27,UConn,67,Dayton,85
2024-11-27,Gonzaga,78,West Virginia,86
2024-11-27,Memphis,76,Auburn,90
2024-11-27,Colorado,71,Iowa State,99
2024-11-27,Houston,65,Notre Dame,54
2024-11-27,UT Martin,35,Tennessee,78
2024-11-27,Alabama,95,Rutgers,90
2024-11-27,Stonehill,59,Marquette,94
2024-11-27,Michigan St,94,North Carolina,91
2024-11-27,Louisville,89,Indiana,61
2024-11-27,Alabama St,59,Cincinnati,77
2024-11-27,New Orleans,60,Baylor,91
2024-11-27,Creighton,73,Texas A&M,77
2024-11-27,Xavier,53,Michigan,78
2024-11-27,Arizona,104,Davidson,71
2024-11-28,Gonzaga,89,Indiana,73
2024-11-28,NC State,61,Purdue,71
2024-11-28,Florida,75,Wake Forest,58
2024-11-28,Illinois,90,Arkansas,77
2024-11-28,BYU,85,Ole Miss,96
2024-11-28,Arizona,77,Oklahoma,82
2024-11-28,Mississippi St,80,UNLV,58
2024-11-29,Davidson,65,Gonzaga,90
2024-11-29,Georgia St,76,Kentucky,105
2024-11-29,Seattle U,48,Duke,70
2024-11-29,Ole Miss,78,Purdue,80
2024-11-29,Providence,73,Indiana,89
2024-11-29,Wichita St,51,Florida,88
2024-11-29,Arizona,76,West Virginia,83
2024-11-29,Butler,87,Mississippi St,77
2024-11-30,Furman,51,Kansas,86
2024-11-30,MD Eastern,45,UConn,99
2024-11-30,San Diego St,73,Houston,70
2024-11-30,Oregon,83,Alabama,81
2024-11-30,W Carolina,62,Marquette,94
2024-11-30,Chicago St,53,Wisconsin,74
2024-11-30,Texas A&M,81,Rutgers,77
2024-11-30,Creighton,80,Notre Dame,76
2024-12-01,SC State,68,Xavier,71
2024-12-02,UMBC,62,Georgetown,86
2024-12-02,Columbia Int'l,59,Jax State,89
2024-12-02,William & Mary,83,Old Dominion,88
2024-12-02,Oakwood,71,Miss Valley St,91
2024-12-02,Bryant,78,Drexel,73
2024-12-02,Loyola MD,68,Coppin St,57
2024-12-02,Air Force,60,Miami OH,73
2024-12-02,Yale,78,Rhode Island,84
2024-12-02,UT Arlington,84,UL Monroe,70
2024-12-02,SE Louisiana,71,Tulane,67
2024-12-02,Dkta Wesleyan,62,S Dakota St,78
