event_id,home_pts,away_pts
bf417e413ff82ccecc95b19ddda943eb,59,72
fba198f4d50d4d89a2c542923c7536f6,84,53
a8e3f571c3fc2fda00932b319dfcded7,75,60
c53b670e4d40495a5c6e74a4c301d8a2,69,60
1e88694d8e0617259bc8c72424d05268,61,69
ebac2601d56cc281e1f0329f1ec39f89,91,95
c6f8d068eb1a96702641d3eb53d28f37,56,60
b2c89b698d05b932b5f1b34cd6092c1d,73,66
0be20d468f22f846dd2d47fa68cb907e,60,66
fb8b2c8d66b939978b3dca73e9513e99,87,63
d5bb6a5dc3357dd3be5e15c4d2ff045b,55,59
0162ea3624a543ff84356d3434cbc0e8,107,67
c2ff170f126fb9cf53eab9559ac88b2a,84,54
9e9a791aa9ff1d174700197cbe576256,57,63
d4d34fe6eab1b3d3bf95d712bd1ce081,73,67
2451f470817de5b47658c9098d9039d2,95,82
0a21ef71cd51fe949d64ed4837cb701c,69,67
2afc048437f463b0ce997347d9726b43,63,64
8293af3a182f3a89f4f8dd4dc9e52394,66,65
dd3543cf456bea81b09215dc4a0019a8,86,63
fb7d269a75d7c045193b72cce3f01aee,69,48
3a1f9cf276cc5d98e571706e21cdf5ad,67,68
9540f32166acd13d21a159ffc73cd0b9,58,55
8f7eaa47afde76a39eb02fac95a72532,57,77
bd2f622cc0e6bb942fcde11a81378565,79,85
6b02f9ce6fe08905d3150c2fd7d70fcc,105,96
339155194ce1dae48656a588ca33eed8,56,54
eaf1ef4d54153b75347be1413c6822c2,77,62
da8039069156c45c05078505c70804ad,88,72
47be3b02b8d87e4a724cbc35d57151d4,63,73
9c2d3fea68763cad8bcf669f1a03397a,83,84
745daf3ae74ed1eaa88df01aee488dc1,66,74
ddf7ec48e920e4026dce912686affcf4,76,57
a6a6af8301db3c7eaf2b858332540a2a,56,53
b7deef98a04359f74e2801034ce3fa0a,69,85
4ea9a9bfa5a1bee88aa4c947293f034f,84,79
3a69aa548b8d0c786aad884a3ead7184,73,64
ffa8a0c420460719b85c787239d7772d,76,64
f4a6469ca7b245e2c2b1018f27cfbbed,67,95
d9fa7a726f7af3c24291d3aa4cf1d078,72,56
2f579c3bc68bab77a43ffc85cfb8a1e8,65,81
96aba7f273f888c84cbef19171c8e9d0,89,60
ee2563b509b1076d7cecd299db03c392,75,59
b524d5e437d3fd2b79695719c19a41e4,92,84
dc7fef27b2327c7e422662990fe0ae67,74,71
1f73ff05596e32f03715f4cf621e3225,78,68
75a4f5d97bd2724f04ae13e17adfbf13,55,57
41e1207a4b3f9fbaef420e6c9e1921b2,80,69
28105b2e25383d087528910060e297b8,63,90
8a5d62cc5e14c8027086c9ce906c2e2e,79,70
552d7bce1ea4e9075c4ff2a4de00a5df,93,78
710afed5749778d52d255d1e65cbbdff,76,95
2ada12e0025e585f9b775a32b5a7d098,80,67
1e064e4649455c15e5ce14de9a48f970,70,84
32df1952a053e76bc04fb099ce117113,82,55
27d0973ab0a5cfba2cac826ef443d789,76,85
3be893879ee59d86cd8fc15dc38a5d63,85,66
d2fbf9dba190007c9540f806471ba030,61,53
23619395956f93898dbedd8f88858d34,85,72
4b23fbbc21b0d4c7bf67e8e991ab3de1,85,82
2a108424eb173884d2c647fdff330958,85,87
aa6ee097ceb205d24e74ecb3cacfeb9f,85,86
306ab2145bc2b77d0c13e954b9e9a2fe,84,67
f3b209a73c9f30cc3662eee14201e9c5,71,72
4a5603e01a90be27dd80c948fc9472c3,81,88
75df12a69a9084b63fb0f7f0fda823fb,65,75
58c969660ba3d49d26e9fd9fcaefaae0,81,85
a5bbd374f77236b535fada92bdad4d1d,100,82
f1da664ff44160a317161f465cf4950a,82,61
aa3218755dc8044216113bdc8ef4b705,75,52
63ebd9b99e81ae0002ad314d7d4a4336,71,65
67e21fabb2cedc720d3c3e0c8b004638,58,63
79c80e659316b1e6d6257dec754216f6,117,53
835377467fca0895e8df583a6f6714d5,57,42
6819f6e77f795f6301eef3c28f99cafe,77,82
147e10ae28c24bd05d781f51db708db1,89,94
4517d5896d45f6ab422dc53b384fcd65,51,83
130362cc5fc423d053338c61078eb136,64,58
c18cd8ab4e5503c6bc54040bcf234923,75,59
73fc77ea04f80cc5fe5457cfe9debd62,96,85
9ca0020991ad8f860d24e1e279337e48,69,60
baad94d4ea8b490b8bf5af047de86454,75,83
01058378f4cac5ff384176129ffbf67b,62,59
6f0a3a8ecaee2e8e25a500f99374310d,57,56
b70d7f6286253cf2575fa1eb69cb741a,85,64
5849bd5bd87f4970a69550c7a2aed5e6,71,53
a1f7aa3490b6da0405fdb9f1034bba2d,75,73
bf00fb54703cc0ad8eedfd3018e5f4d4,65,69
d52250c7ed16cecc7f7a1a69b4a3d3fb,88,65
a2a53e5653f2141adad704d17ea7fddb,73,64
d17d4b88f2a4f50986c294fe3c437e89,79,71
6d528f450d209638570d30454d7dfc96,101,77
948745bd0cfe70027563465fe9265a8b,94,68
2abab28b434f14da2475078cb6fa965c,66,76
c7ea7bfc97878047b017fe77d83bf501,76,70
cf04320685d67881017ddd5b6a17df99,74,66
373131f999fcb31dc74ebf63ac59ec6c,77,75
0a3a5a1d82e0d54acd59a8aacef9da98,85,83
61f7b13e64b49f9cbe40b1c178f4c5d5,61,87
1e1c83e46a1cc38e84e5f209ec2f11e2,63,56
06d387c3a7deeb2d9e127d38568b07df,49,65
a56153df9dc4ed74b06819aaa4d5bf9b,86,63
5d23bc015c91c565b6de4fb0bb951559,83,73
aaed4f0328dd104eebf1b7bec4523b63,74,78
0e131e2738aa7f6e4c1ceb30e4bd3567,55,56
4c49a679d803a47e397357d075510d68,71,63
3ed2518663804d3b3bdb43e0c9886e90,56,69
610d7b830b40a7fefed5a84913a3a70b,79,74
1ba624f142cee35715b5b5ae919c6a4b,63,45
f617dd9dde3fc203985ce82817f6cb80,85,68
ac7e92f995350fc214485b218b6f1855,75,89
a2b28c02f1af78e5d05d84e99b63108f,65,56
7a77cf185134604be4860adac6500d10,96,68
4164c7afbebb1084a8a2b148f90712fb,78,60
f2624b3a3bf95f60def6c17d6416d8cf,55,78
a4ea3d8fd5e54aef32cb04d83f818c13,69,60
de76cf98c4aa657b38b05eb1212ea92d,46,43
401ab9ffff069d5d1edf11679e47901b,87,71
ed93f71c4a2e7d9f91cef436bcb6d5e7,56,76
d060666a712f31d05ac6459a4f3c38ff,98,73
0bdd6b1d0e69e6e899dcc0cd21c01b14,79,77
d90952b8438bb974a8def3edcfbc2134,65,74
3085d4bfead48c93ba6ae245adbc059f,95,63
ba1eac72b25074811b69f103fd38b6be,84,62
89929568f0399f71250db5d02084b334,54,55
593c46ad28bb41e418e733536db37956,78,66
b4770223792cf0bfe9fe7b1f320ae4ff,65,67
84dc2d1dec233e932f267cd7fa049ed3,68,88
0961024ff6b17a97a3b07a96191dcba7,56,73
f3330a24b18c876798712264968a4b78,72,95
461ccb930f7ca904d4bfd0d2906a5c15,41,65
ed7cb4409dd8e56e6ebc7095f947467b,99,56
7c96497b61ee9468b3a30265365ff2c5,77,71
f49a5a9877ee34ba76270fd7c0b04cd9,75,73
2c49b6a1789f6106455eed51a913387a,83,71
09e47acc1404ced770cd6650205d6a1e,62,68
f2f8b746a406815ccf9c0b8f1908ea0a,87,68
bc99be5ae8e7beb7a33e7ff77ae99105,82,71
29c0b9ee052237734e306b2ffd82268a,99,58
3c216c51a676a0afd48dbe6425263ee5,79,67
180fd9a9048b623e9dde1b51a483a0ad,81,72
cbb7c1b614bb6050d279ae25f1634d5f,86,75
1bb4452edc7b69da617e943dc70345d7,86,56
7909a4a1a9e3e6a00d6c96e03c85f552,62,75
e63e0ec85e95497e44ea13dc7e1a5d16,68,74
3015e32a4d5aa9fe70b3441a164cf300,56,63
12dab9e283ecf433631db1a452ca6b5f,84,72
8fdd5d6bd5426e35bb799800701491a4,81,61
e314603415e6f318a6103766fcc351da,54,82
eb37144591c3f85fb1a1c715de57f182,81,64
951ea2b33188b66d017108572cf64ac9,84,73
03f4d931ee541e7bac9cf36cf279b7e7,73,66
c0230261a2b21158635592c621bf4e66,66,73
eaba36794596056ff9d552f44368b13e,60,89
d3b4e3b2367431241e2ef23ea7a92fec,69,59
df3c9467ae989a3e9e5638643fadcc0a,87,64
51886384e259a9fec4016e473544853a,79,88
65898722b94acc1c977d3fcaf7926b0b,68,56
e31aa2e06cdbbc2f0081cdda55813dd8,68,63
518e5816a7ed59bf4feff6de1f9c6d64,63,78
75203c37aed5bf7ea29b3d30ff1429cb,85,83
fda0d7d1d5a1356112807e4b8d4a686f,66,76
53fa25f52f9e8730db6601ddb5d1e101,100,57
6ba3f155fbb3037eeaa557a357dd084a,66,78
2a06cc1d66871c3a75251d47a26c15c7,90,60
253fd1b493e557f3e651e65803fbb2db,64,100
7fbd0bce31e99f53a46fe686d1d2c537,68,54
66aaf89a9439878f2a32fc166d13cad3,66,54
529323d354a69067d19368e324413a0f,79,44
a984409b219a35ad348eb1fe57fe0f5b,98,45
83a91cc841e5e21243d4492b08a342a2,80,88
077ba8aa048694b85edac0c8d3d24389,79,82
c4ddc4e68de86f1f0e715d4598d392a8,90,83
3a2017a79ef64fe69b2f5929d0a0ef38,61,62
b6a665a47f8ca571066ac6ac0fbcc420,72,64
43688d01e5882b9c6b5a51e067ad6f4b,76,57
e247a80300424209090a77bab4bd9279,79,70
e11cc957763478bbc91a17434ce02a0a,82,54
904cb862d2d3a2b4b0bd0d29146fa9b7,81,88
88a34bf562182cab7aaa8a89b27a1ccf,69,68
17144977045d63815d23acb0aebe195d,56,77
13e799440ddb991462baeff614af0a2e,69,70
38cdd025a091947bf611e2d1543dcd82,70,75
77b0f455e980c25625b125331d03270b,97,88
ddc01ab6fdda1c91f7e1d8383ec91d22,65,70
d8c553aee309e4db7b15fbb8c8594378,97,84
bf498f60b50adc880779b9defd548a19,69,64
ffa0be81e0ff743ff2efc8afd4a1cc99,58,52
3a4fb0ea9c384c08e7ad2ed46e57c286,89,102
ac020ee3bf6a014f80b5c5c06b113115,71,75
bf603430ca5b2f8c90abfa22e74aa4e9,60,62
5918db6982dbba5e2b1c59b2477637e0,87,69
9a030d3e4b9183be26c5f4cd0a82a1e7,63,57
aa8f1aea43febf34b475464ab445e15b,80,81
f0dd60d58e0d7fdc39d3992ff16ce6f9,62,65
86b153cf82ec04ad6154b669a52a7cfc,82,75
b718eeb45d3f7ea2b25c7e69dd8a570f,111,88
924c7b51064742d329b1aa5a9725a415,75,69
20104f00a0d0de19cc97a095fbd4b1e9,53,63
3be25e5ac306357307ea843326dad838,78,87
