team,dratings_rating
Connecticut Huskies,2.9782
Houston Cougars,2.8031
Alabama Crimson Tide,2.7887
Texas Longhorns,2.7139
Gonzaga Bulldogs,2.6895
UCLA Bruins,2.6768
Purdue Boilermakers,2.5848
Marquette Golden Eagles,2.5823
Kansas Jayhawks,2.5615
Tennessee Volunteers,2.3705
Arizona Wildcats,2.3086
Xavier Musketeers,2.3025
Creighton Bluejays,2.2706
Baylor Bears,2.2663
Saint Mary's College Gaels,2.2567
San Diego State Aztecs,2.2412
Miami Hurricanes,2.2138
Duke Blue Devils,2.1883
TCU Horned Frogs,2.1466
Memphis Tigers,2.0766
Kentucky Wildcats,2.0688
Kansas State Wildcats,2.0679
West Virginia Mountaineers,2.0475
Virginia Cavaliers,2.0392
Florida Atlantic,2.027
Arkansas Razorbacks,2.0207
UNC Tar Heels,1.9269
Iowa State Cyclones,1.9197
Indiana Hoosiers,1.8695
Auburn Tigers,1.8589
Michigan State Spartans,1.8485
Illinois Fighting Illini,1.8199
Texas A&M Aggies,1.7953
Utah State Aggies,1.7919
Penn State Nittany Lions,1.7814
Maryland Terrapins,1.7769
Iowa Hawkeyes,1.7512
Michigan Wolverines,1.7413
Providence Friars,1.709
Rutgers Scarlet Knights,1.6628
Oklahoma State Cowboys,1.6488
Boise State Broncos,1.6451
USC Trojans,1.6382
NC State Wolfpack,1.6275
Oregon Ducks,1.6204
Oklahoma Sooners,1.6058
Missouri Tigers,1.5923
Northwestern Wildcats,1.5736
North Texas Mean Green,1.5593
UAB Blazers,1.5517
Mississippi State Bulldogs,1.5413
Ohio State Buckeyes,1.5149
Clemson Tigers,1.5016
VCU Rams,1.4931
Villanova Wildcats,1.4897
Seton Hall Pirates,1.4871
Pitt Panthers,1.4823
Wisconsin Badgers,1.4764
Charleston Cougars,1.4406
Virginia Tech Hokies,1.4331
Texas Tech Red Raiders,1.4083
Colorado Buffaloes,1.3935
Arizona State Sun Devils,1.3931
Florida Gators,1.3368
Cincinnati Bearcats,1.3296
Vanderbilt Commodores,1.3058
Oral Roberts Golden Eagles,1.3046
Dayton Flyers,1.2805
Santa Clara Broncos,1.2786
Brigham Young Cougars,1.2695
Nevada Wolf Pack,1.2551
St. John's Red Storm,1.2408
New Mexico Lobos,1.2408
Wake Forest Demon Deacons,1.2365
Liberty Flames,1.2166
Washington State Cougars,1.2132
Utah Utes,1.1948
Drake Bulldogs,1.1651
UCF Knights,1.155
Utah Valley Wolverines,1.1108
Saint Louis Billikens,1.0501
San Francisco Dons,0.9855
Kent State Golden Flashes,0.9795
Nebraska Cornhuskers,0.9686
Iona Gaels,0.9597
Tulane Green Wave,0.9514
Yale Bulldogs,0.9223
UNLV Rebels,0.9126
Marshall Thundering Herd,0.9101
Toledo Rockets,0.9011
Syracuse Orange,0.8707
Furman Paladins,0.8586
Bradley University Braves,0.8533
Sam Houston State Bearkats,0.8461
Stanford Cardinal,0.8377
Loyola Marymount Lions,0.7865
Butler Bulldogs,0.7842
Louisiana Lafayette,0.78
Wichita State Shockers,0.7732
Washington Huskies,0.7499
Princeton Tigers,0.7427
Ole Miss Rebels,0.7036
Hofstra Pride,0.6772
Colorado State Rams,0.6634
Grand Canyon Antelopes,0.6552
UC Santa Barbara Gauchos,0.6526
Fordham Rams,0.6305
UC Irvine Anteaters,0.6077
James Madison Dukes,0.596
Duquesne Dukes,0.5948
San Jose State Spartans,0.5826
Georgia Bulldogs,0.5765
Temple Owls,0.5758
Indiana State Sycamores,0.5591
Colgate Raiders,0.549
Akron Zips,0.5424
LSU Tigers,0.5416
Southern Utah Thunderbirds,0.5073
Charlotte 49ers,0.5012
Davidson Wildcats,0.4889
Boston College Eagles,0.4818
Richmond Spiders,0.4756
MTSU Blue Raiders,0.4655
Southern Illinois Salukis,0.4402
South Alabama Jaguars,0.4373
Hawaii Rainbow Warriors,0.4372
Georgia Tech Yellow Jackets,0.4359
Notre Dame Fighting Irish,0.423
Montana State Bobcats,0.4213
DePaul Blue Demons,0.4085
Belmont Bruins,0.4071
Southern Miss Golden Eagles,0.3928
George Mason Patriots,0.3862
Vermont Catamounts,0.3755
Towson Tigers,0.3658
Kennesaw State Owls,0.3207
Portland Pilots,0.3116
Wyoming Cowboys,0.2929
UNC Greensboro Spartans,0.2867
Penn Quakers,0.2471
UC Riverside Highlanders,0.2433
UNC Wilmington Seahawks,0.2406
Cal State Fullerton Titans,0.2342
Youngstown State Penguins,0.2211
Eastern Washington Eagles,0.2176
Stephen F. Austin Lumberjacks,0.2072
Florida State Seminoles,0.2063
Troy Trojans,0.1994
Missouri State Bears,0.1738
South Florida Bulls,0.171
Fresno State Bulldogs,0.152
Cornell Big Red,0.15
Samford Bulldogs,0.1449
UNC Asheville Bulldogs,0.1367
Seattle Redhawks,0.1219
Western Kentucky Hilltoppers,0.1148
Pepperdine Waves,0.0689
Air Force Falcons,0.0684
California Baptist Lancers,0.0582
UMass Lowell River Hawks,0.0574
Ohio Bobcats,0.0514
Saint Joseph's Hawks,0.0343
Old Dominion Monarchs,0.0188
Eastern Kentucky Colonels,0.0162
UC Davis Aggies,0.0145
St. Bonaventure Bonnies,0.0076
SMU Mustangs,0.0008
Minnesota Golden Gophers,-0.0002
Northern Kentucky Norse,-0.0029
Pacific Tigers,-0.0055
Tarleton State Texans,-0.0213
South Dakota State Jackrabbits,-0.0303
Rice Owls,-0.0388
UMass Minutemen,-0.0393
Lipscomb Bisons,-0.0492
Louisiana Tech Bulldogs,-0.0521
East Carolina Pirates,-0.0578
Long Beach State 49ers,-0.0675
Utah Tech Trailblazers,-0.0873
Florida Gulf Coast Eagles,-0.09
UTEP Miners,-0.0994
Texas State Bobcats,-0.1003
Harvard Crimson,-0.1013
Longwood Lancers,-0.1111
George Washington Colonials,-0.1253
South Carolina Gamecocks,-0.1452
Quinnipiac Bobcats,-0.1565
Montana Grizzlies,-0.1568
Ball State Cardinals,-0.1651
Appalachian State Mountaineers,-0.1712
Oregon State Beavers,-0.172
San Diego Toreros,-0.1822
New Mexico State Aggies,-0.1907
Radford Highlanders,-0.2213
Georgetown Hoyas,-0.2285
Northern Iowa Panthers,-0.2333
Chattanooga Mocs,-0.2402
Abilene Christian Wildcats,-0.2429
Cleveland State Vikings,-0.2437
Texas A&M CC Islanders,-0.2504
Brown Bears,-0.2598
Stetson Hatters,-0.2617
La Salle Explorers,-0.2632
Murray State Racers,-0.2706
Drexel Dragons,-0.2845
Buffalo Bulls,-0.2877
Detroit Titans,-0.2879
Bryant Bulldogs,-0.2923
Norfolk State Spartans,-0.2939
Siena Saints,-0.2967
Queens Royals,-0.3108
Loyola Chicago Ramblers,-0.311
Wright State Raiders,-0.3186
Navy Midshipmen,-0.3236
North Carolina Central Eagles,-0.329
Rider Broncs,-0.3452
Delaware Fightin' Blue Hens,-0.3479
FIU Golden Panthers,-0.3512
Gardner Webb Runnin' Bulldogs,-0.3693
Georgia Southern Eagles,-0.3786
Grambling State Tigers,-0.3797
North Dakota State Bison,-0.384
Howard Bison,-0.4075
Northern Colorado Bears,-0.4265
Weber State Wildcats,-0.4333
Jacksonville Dolphins,-0.4808
Wisconsin Milwaukee Panthers,-0.4977
St. Thomas Tommies,-0.5075
California Golden Bears,-0.5223
Louisville Cardinals,-0.529
North Florida Ospreys,-0.5506
Rhode Island Rams,-0.5571
IPFW Mastodons,-0.5798
Northwestern State Demons,-0.5931
Wofford Terriers,-0.5944
Robert Morris Colonials,-0.5979
Campbell Fighting Camels,-0.6297
Mercer Bears,-0.6532
Sacramento State Hornets,-0.6721
Western Carolina Catamounts,-0.6766
Jacksonville State Gamecocks,-0.6818
Morehead State Eagles,-0.6823
Bellarmine Knights,-0.698
UMBC Retrievers,-0.7231
Oakland Golden Grizzlies,-0.7237
UT Arlington Mavericks,-0.7298
Winthrop Eagles,-0.7345
ETSU Buccaneers,-0.7397
Northern Arizona Lumberjacks,-0.7455
Niagara Purple Eagles,-0.755
MD E Shore Fighting Hawks,-0.7838
SIU Edwardsville Cougars,-0.7915
Army Black Knights,-0.7942
Portland State Vikings,-0.7981
Fairfield Stags,-0.8222
North Alabama Lions,-0.8226
Nicholls State Colonels,-0.8273
USC Upstate Spartans,-0.8319
UTRGV Vaqueros,-0.8461
Georgia State Panthers,-0.8529
Canisius Golden Griffins,-0.8606
South Dakota Coyotes,-0.8691
Illinois State Redbirds,-0.8735
Alcorn State Braves,-0.8742
Western Illinois Leathernecks,-0.9206
UC San Diego Tritons,-0.9259
Marist Red Foxes,-0.9299
Southeastern Louisiana Lions,-0.9318
Fairleigh Dickinson Knights,-0.9325
North Dakota Fighting Hawks,-0.9441
Boston University Terriers,-0.9451
Miami RedHawks,-0.9532
SE Missouri State Redhawks,-0.9534
Mount St. Mary's Mountaineers,-0.9563
American University Eagles,-0.9607
Dartmouth Big Green,-0.9627
Northeastern Huskies,-0.9635
Lehigh Mountain Hawks,-0.9644
Idaho State Bengals,-0.966
Northern Illinois Huskies,-0.9741
Saint Peter's Peacocks,-0.9864
Valparaiso Beacons,-0.9926
Maine Black Bears,-0.9968
Tulsa Golden Hurricane,-0.9992
Tennessee-Martin Skyhawks,-1.0016
Louisiana Monroe Warhawks,-1.0024
Lafayette Leopards,-1.0075
UTSA Roadrunners,-1.0136
Denver Pioneers,-1.0257
Southern Indiana Screaming Eagles,-1.032
Arkansas State Red Wolves,-1.0331
New Hampshire Wildcats,-1.0369
Cal Poly Mustangs,-1.048
Tennessee State Tigers,-1.0609
UIC Flames,-1.0639
