rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,home_rank,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
1,Kansas,Kansas,12.5306672737608,14.073880222685,26.6045474964458,-30.6538752649995,19.9017651730834,8,2,68.6574436865121,220,299,27,3,#FFBC68,#FFA739,#FF9D23,#82B1CB,#F4C59D,Kansas plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Kansas plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
2,Gonzaga,Gonzaga,18.2459773320896,8.070754203758,26.3167315358475,-9.59123231760515,7.01528736495785,1,34,72.5290864702825,41,156,31,2,#FF9D23,#FFCD8D,#FF9F25,#D4E7DA,#F1DBB1,Gonzaga performs at a similar level against both good and bad teams.,Gonzaga performs at a similar level regardless of the pace of the game.
3,Duke,Duke,13.4243949227079,11.800966027452,25.2253609501599,-11.9260094778244,-37.7166870692115,6,6,72.7371553561434,37,7,25,6,#FFB75D,#FFB559,#FFA22E,#C9E1D9,#A0BEC2,Duke performs at a similar level against both good and bad teams.,Duke plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
4,Baylor,Baylor,10.863512396606,12.3646787422367,23.2281911388427,35.3292429809925,-15.1661891165942,13,4,67.4420361285914,282,263,26,4,#FFC57C,#FFB251,#FFAA3F,#F68E8F,#CFD6BE,Baylor plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Baylor performs at a similar level regardless of the pace of the game.
5,Michigan State,Michigan State,12.4665099690682,10.0373031544415,22.5038131235098,-74.1496475221981,21.618432095437,9,11,70.4548831544108,111,66,22,9,#FFBC68,#FFC072,#FFAC45,#00429D,#F5C29A,Michigan State plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Michigan State plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
6,San Diego State,San Diego State,10.7424394930562,11.4301881414573,22.1726276345135,99.009900990099,-5.05223442042886,14,7,66.2973615844883,326,346,29,2,#FFC57D,#FFB85E,#FFAE47,#93003A,#E4E1BC,San Diego State plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,San Diego State performs at a similar level regardless of the pace of the game.
7,Dayton,Dayton,13.4569537699893,7.61694042837154,21.0738941983609,32.9211992526705,12.0707116953996,5,42,68.8188564074536,217,196,29,2,#FFB75D,#FFCF94,#FFB251,#F99694,#F2D2A9,Dayton plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Dayton performs at a similar level regardless of the pace of the game.
8,Kentucky,Kentucky,11.2101173432143,8.79604183011792,20.0061591733322,60.8067718258577,9.94575184766468,11,26,68.5759260451838,224,314,25,6,#FFC378,#FFC883,#FFB659,#D1405E,#F1D6AC,Kentucky plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Kentucky performs at a similar level regardless of the pace of the game.
9,Louisville,Louisville,10.5918227063912,9.19976412995419,19.7915868363454,-8.14544336898219,-4.23520356573147,16,21,68.4453450266666,234,60,24,7,#FFC67F,#FFC67E,#FFB65B,#DAEBDB,#E6E2BC,Louisville performs at a similar level against both good and bad teams.,Louisville performs at a similar level regardless of the pace of the game.
10,Florida State,Florida State,9.38289824527001,10.2184737248938,19.6013719701639,38.0680364068064,-15.3819509370776,23,10,70.9604298562969,83,184,26,5,#FFCD8E,#FFBF6F,#FFB75D,#F3858A,#CFD6BE,Florida State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Florida State performs at a similar level regardless of the pace of the game.
11,Maryland,Maryland,10.3536902831823,8.72923353351546,19.0829238166978,55.0755661250805,-2.7529711516653,19,27,68.481941486961,232,141,24,7,#FFC782,#FFC884,#FFB961,#DE5067,#E9E4BC,Maryland plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Maryland performs at a similar level regardless of the pace of the game.
12,Houston,Houston,9.19145527591648,9.84164966691662,19.0331049428331,22.7538475887384,-13.8769214365835,24,15,67.0393045837087,299,46,23,8,#FFCE90,#FFC275,#FFB961,#FFB6AA,#D2D8BE,Houston plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Houston performs at a similar level regardless of the pace of the game.
