rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,home_rank,runs_per_game,runs_conceded_per_game,runs_margin,runs_total,runs_conceded_total,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
1,Connecticut,Connecticut,20.121489508967,14.3718178031123,34.4933073120793,91.0358598977571,37.8952393947973,1,4,65.9065072121535,328,29,0.9,0.25,0.65,36,10,37,3,#FF9D23,#FFAB42,#FF9D23,#93003A,#F7B58E,Connecticut plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Connecticut plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
2,Purdue,Purdue,19.0543100546375,11.1317733035714,30.186083358209,-11.3188120353057,41.7090690448925,2,10,68.1056045695789,217,76,0.717948717948718,0.153846153846154,0.564102564102564,28,6,34,5,#FFA32F,#FFBE6C,#FFAA3E,#B0D4D5,#F8B089,Purdue plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Purdue plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
3,Auburn,Auburn,15.7354465721134,12.9765080505179,28.7119546226313,22.8588582140351,-14.9965882433181,7,5,70.4139403566631,77,140,0.857142857142857,0.2,0.657142857142857,30,7,27,8,#FFB353,#FFB354,#FFAE48,#FFAEA4,#D2D8BE,Auburn plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Auburn performs at a similar level regardless of the pace of the game.
4,Houston,Houston,11.1876222684753,16.7209923861346,27.9086146546099,-49.1310945100208,13.5625504572311,21,1,65.0307807909115,347,7,1.05405405405405,0.216216216216216,0.837837837837838,39,8,32,5,#FFC984,#FF9D23,#FFB04D,#00429D,#F2D5AB,Houston plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Houston performs at a similar level regardless of the pace of the game.
5,Arizona,Arizona,14.5242339418977,12.551676119403,27.0759100613006,-1.54205232406604,52.8867496595854,10,6,73.0511356043444,16,13,0.861111111111111,0.305555555555556,0.555555555555556,31,11,27,9,#FFB860,#FFB65A,#FFB252,#F4F9DE,#FBA17C,Arizona performs at a similar level against both good and bad teams.,Arizona plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
6,Tennessee,Tennessee,11.3662860753383,15.4848452638829,26.8511313392212,-10.9059941877912,36.5158733404627,18,3,69.7415400421747,106,49,0.583333333333333,0.194444444444444,0.388888888888889,21,7,27,9,#FFC882,#FFA533,#FFB354,#B3D5D6,#F7B68F,Tennessee plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Tennessee plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
7,Duke,Duke,15.3247207489339,11.1627708742004,26.4874916231343,-5.79326318559256,-95.8471391700018,8,9,67.6560245765764,247,282,0.5,0.166666666666667,0.333333333333333,18,6,27,9,#FFB557,#FFBE6C,#FFB456,#D6E9DA,#70A6C7,Duke performs at a similar level against both good and bad teams.,Duke plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
8,North Carolina,North Carolina,14.0020513726013,10.926749516258,24.9288008888593,14.2420765488344,-14.4886317150732,12,11,70.9471361363073,52,125,0.783783783783784,0.243243243243243,0.540540540540541,29,9,29,8,#FFBB66,#FFBF6F,#FFB860,#FFCCBB,#D3D9BE,North Carolina performs at a similar level against both good and bad teams.,North Carolina performs at a similar level regardless of the pace of the game.
9,Iowa State,Iowa State,8.01476164778785,15.8530595415778,23.8678211893657,-1.65847418931699,-43.5405923530682,40,2,68.0711293424746,218,17,0.888888888888889,0.25,0.638888888888889,32,9,29,8,#FFD8A7,#FFA22E,#FFBB67,#F3F8DE,#9CBCC3,Iowa State performs at a similar level against both good and bad teams.,Iowa State plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
10,Creighton,Creighton,14.4639085754264,8.53956663073028,23.0034752061567,-7.06041089772091,-22.4840612730095,11,24,67.8718375996449,237,95,0.857142857142857,0.314285714285714,0.542857142857143,30,11,25,10,#FFB961,#FFCD8E,#FFBE6C,#CEE4D9,#C4D1BF,Creighton performs at a similar level against both good and bad teams.,Creighton plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
11,Gonzaga,Gonzaga,16.2005614139126,6.4326905977412,22.6332520116538,-3.76683676549014,17.9114578845796,6,43,69.7336495318157,109,314,1.02941176470588,0.235294117647059,0.794117647058823,35,8,26,8,#FFB04E,#FFD9AA,#FFBF6E,#E4F0DC,#F3CFA6,Gonzaga performs at a similar level against both good and bad teams.,Gonzaga performs at a similar level regardless of the pace of the game.
12,Illinois,Illinois,16.9817394189765,5.43904759435035,22.4207870133269,-13.6939667706965,-18.0437676759689,4,65,70.2323912540096,81,283,0.605263157894737,0.315789473684211,0.289473684210526,23,12,29,9,#FFAD45,#FFDFB7,#FFBF70,#A0CBD3,#CCD5BE,Illinois plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Illinois performs at a similar level regardless of the pace of the game.
13,Alabama,Alabama,17.6307039189521,4.09197274942392,21.722676668376,-54.0933282578874,-70.6232569236112,3,87,73.3470184148454,11,8,0.810810810810811,0.432432432432432,0.378378378378378,30,16,25,12,#FFA93E,#FFE7C9,#FFC174,#00429D,#70A6C7,Alabama plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Alabama plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
14,Marquette,Marquette,11.2652255763593,10.1094222128198,21.3746477891791,-17.4173566212579,30.3510822122382,20,15,70.3989636994403,78,32,0.810810810810811,0.27027027027027,0.540540540540541,30,10,27,10,#FFC884,#FFC47A,#FFC276,#8BBCCF,#F6BF97,Marquette plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Marquette plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
15,Kentucky,Kentucky,16.6113105639363,4.23402510774006,20.8453356716763,43.0116433948072,22.6437074535979,5,86,73.2653628378198,13,273,0.606060606060606,0.272727272727273,0.333333333333333,20,9,23,10,#FFAE49,#FFE6C7,#FFC47A,#E76776,#F4C9A0,Kentucky plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Kentucky plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
16,Michigan State,Michigan State,8.22736239672175,11.9952200639659,20.2225824606876,-13.5162697424783,51.329022389897,36,8,66.7315562012014,300,73,0.617647058823529,0.147058823529412,0.470588235294118,21,5,20,15,#FFD7A5,#FFB961,#FFC67E,#A1CBD3,#FAA37E,Michigan State plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Michigan State plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
17,Baylor,Baylor,15.2880228495038,4.71647929785375,20.0045021473576,-61.8923735800036,-15.7142795622617,9,79,66.7760327638679,295,40,0.617647058823529,0.264705882352941,0.352941176470588,21,9,23,11,#FFB558,#FFE3C1,#FFC67F,#00429D,#D1D7BE,Baylor plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Baylor performs at a similar level regardless of the pace of the game.
