rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,rank_inj,home_rank,roster_rank,runs_per_game,runs_conceded_per_game,runs_margin,runs_total,runs_conceded_total,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
1,Michigan,Michigan,19.3599937983801,17.6666838589776,37.0266776573577,65.9056242354406,22.7167869765216,3,1,72.77447155,13,1,45,1,1.26923076923077,0.115384615384615,1.15384615384615,33,3,25,1,#FFA028,#FF9D23,#FF9D23,#A41244,#F3CCA3,Michigan plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Michigan performs at a similar level regardless of the pace of the game.
2,Duke,Duke,17.9382983572667,16.9821215802,34.9204199374667,-4.21542874650536,-42.9175174908337,4,3,67.45973995,260,2,168,2,1.11538461538462,0.230769230769231,0.884615384615385,29,6,24,2,#FFA738,#FFA12B,#FFA32F,#ECF5DD,#AAC3C1,Duke performs at a similar level against both good and bad teams.,Duke plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
3,Arizona,Arizona,15.6798096637259,17.0545294533527,32.7343391170786,36.2411152521832,7.22915357151682,9,2,72.37301575,20,4,41,8,1.12,0.04,1.08,28,1,23,2,#FFB251,#FFA12B,#FFA93C,#ED7680,#F0DEB4,Arizona plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Arizona performs at a similar level regardless of the pace of the game.
4,Houston,Houston,15.2226695758352,16.7106391832849,31.9333087591201,13.7708051042532,-25.1116152303576,10,4,64.8589917,360,3,73,5,1.15384615384615,0.307692307692308,0.846153846153846,30,8,23,3,#FFB456,#FFA32F,#FFAB41,#FFCBB9,#C6D2BF,Houston performs at a similar level against both good and bad teams.,Houston performs at a similar level regardless of the pace of the game.
5,Florida,Florida,14.3217819037333,16.1332376486,30.4550195523333,25.9179504810023,-11.3900646720002,13,5,71.6845181,30,5,330,4,0.961538461538462,0.115384615384615,0.846153846153846,25,3,20,6,#FFB860,#FFA636,#FFAF4A,#FC9D99,#DCDDBD,Florida plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Florida performs at a similar level regardless of the pace of the game.
6,Illinois,Illinois,19.7769379432667,9.98892033159333,29.76585827486,-18.7724232570082,-29.5496734494788,2,22,67.0159967,287,8,153,6,1.07692307692308,0.192307692307692,0.884615384615385,28,5,21,5,#FF9E24,#FFC882,#FFB04E,#ADD2D5,#BFCEC0,Illinois plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Illinois plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
7,Connecticut,Connecticut,16.3443371939908,13.3482377269325,29.6925749209233,27.4788253868712,8.64160266611027,5,11,65.95630055,329,6,261,7,0.538461538461538,0.192307692307692,0.346153846153846,14,5,24,2,#FFAF4A,#FFB559,#FFB14E,#F99795,#F0DDB2,Connecticut plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Connecticut performs at a similar level regardless of the pace of the game.
8,Purdue,Purdue,19.8312338912,9.71056778517333,29.5418016763733,-24.3863529025912,15.9218448629389,1,24,66.3433044,320,7,333,3,1,0.5,0.5,26,13,21,5,#FF9D23,#FFC986,#FFB14F,#95C5D2,#F2D4AB,Purdue plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Purdue performs at a similar level regardless of the pace of the game.
9,Iowa State,Iowa State,14.2121066582,14.4175289951267,28.6296356533267,-0.645200787598713,32.6695689947752,15,8,68.7830324905,182,9,23,10,1.34615384615385,0.384615384615385,0.961538461538462,35,10,23,3,#FFB961,#FFAF4B,#FFB355,#FCFDDF,#F5C199,Iowa State performs at a similar level against both good and bad teams.,Iowa State plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
10,Gonzaga,Gonzaga 📉🤕,13.8871108716667,14.5267858092667,28.4138966809333,-24.6912346382887,-19.3148478219662,19,7,71.4442445,37,10,121,12,1.22222222222222,0.296296296296296,0.925925925925926,33,8,25,2,#FFBB65,#FFAF4A,#FFB456,#94C4D2,#D0D7BE,Gonzaga plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Gonzaga performs at a similar level regardless of the pace of the game.
