season,player_key,player_name,team,position,games_projected,pass_yards_total,rush_yards_total,receiving_yards_total,receptions_total,pass_tds_total,rush_tds_total,rec_tds_total,anytime_td_prob
2026,c18b2fe3-1746-464c-9604-91eca99e8c5c,D.Maye,NE,QB,4,896.112,24.48,0.0,0.0,5.612,0.0,0.0,0.02
2026,3f58a998-2d1f-4f95-9c81-9ccd5fa0c8ec,J.Burrow,CIN,QB,4,858.636,21.324,0.0,0.0,5.376,0.0,0.0,0.02
2026,5580f3af-a69b-4d18-aa9e-f9f360bb7daf,C.Stroud,HOU,QB,4,857.736,19.368,0.0,0.0,5.372,0.0,0.0,0.02
2026,a631bebf-08bd-40de-b474-1e57605a1574,J.Goff,DET,QB,4,857.528,17.324,0.0,0.0,5.368,0.0,0.0,0.02
2026,537f0d83-5256-42bf-bc75-f956be1f26c5,J.Love,GB,QB,4,853.116,18.972,0.0,0.0,5.34,0.0,0.0,0.02
2026,d3372f7c-27eb-47ac-9d90-facef898a40f,C.Williams,CHI,QB,4,817.38,23.7,0.0,0.0,5.116,0.0,0.0,0.02
2026,c28c1088-1b0f-497f-bfdb-1a7a9cde1e89,B.Young,CAR,QB,4,819.108,21.688,0.0,0.0,5.292,0.044,0.0,0.044
2026,7fc98b95-d8a9-461b-895c-675c835c87a6,M.Stafford,LA,QB,4,780.968,22.188,0.0,0.0,4.888,0.0,0.0,0.02
2026,32369b37-6bce-4910-acfa-f658676697d3,J.Allen,BUF,QB,4,761.032,29.768,0.0,0.0,4.976,0.084,0.0,0.0848
2026,9cd40a7b-735b-4670-bf0e-4d357c5b3e10,A.Rodgers,PIT,QB,4,772.772,16.048,0.0,0.0,4.84,0.0,0.0,0.02
2026,3a4bd5d6-8b01-4324-8449-d0f7c2059e36,S.Darnold,SEA,QB,4,768.936,19.304,0.0,0.0,4.816,0.0,0.0,0.02
2026,c6b16d75-657b-44a5-9bf9-033769fc3460,T.Shough,NO,QB,4,758.068,21.632,0.0,0.0,4.888,0.04,0.0,0.0404
2026,fb4669d0-c27f-4ea4-bd37-8d3bad299f07,B.Purdy,SF,QB,4,732.4,27.216,0.0,0.0,4.584,0.0,0.0,0.02
2026,e59787f5-27fb-4c44-8543-4c38c3e63ca5,M.Trubisky,BUF,QB,4,740.496,18.432,0.0,0.0,4.636,0.0,0.0,0.02
2026,c8b87222-de0c-47cd-8789-283ea158b788,T.Lance,LAC,QB,4,730.112,26.612,0.0,0.0,4.572,0.0,0.0,0.02
2026,40159058-8f61-4120-8323-ec81eaeff8ce,B.Nix,DEN,QB,4,727.756,28.152,0.0,0.0,5.18,0.244,0.0,0.2372
2026,26424a2d-7d01-4e04-a8e5-3d375bd0c281,B.Allen,TEN,QB,4,735.424,16.984,0.0,0.0,4.604,0.0,0.0,0.02
2026,84183f30-4aea-4c0e-a5ee-3e0d078d504e,R.Leonard,IND,QB,4,728.512,22.74,0.0,0.0,4.696,0.044,0.0,0.0424
2026,c3485017-7a48-4b69-8957-97f4e26303ea,K.Cousins,ATL,QB,4,729.84,18.532,0.0,0.0,4.568,0.0,0.0,0.02
2026,df2c09c5-74cd-4fdf-907d-3b98983c4c2b,J.Dart,NYG,QB,4,724.096,23.392,0.0,0.0,4.708,0.06,0.0,0.06
2026,adc23f6f-785f-4c16-b008-399ca48f511f,T.McKee,PHI,QB,4,726.776,19.808,0.0,0.0,4.552,0.0,0.0,0.02
2026,ad824cf4-45aa-4678-90a2-b4de8ec1d14f,A.Dalton,CAR,QB,4,726.044,20.08,0.0,0.0,4.544,0.0,0.0,0.02
2026,c85912e0-7ec0-44a3-99c5-3ebb79d217a8,M.Willis,GB,QB,4,715.416,29.528,0.0,0.0,4.832,0.148,0.0,0.1444
2026,c415d118-a039-407a-a350-3e89d8042e25,J.Hurts,PHI,QB,4,708.908,24.308,0.0,0.0,4.44,0.0,0.0,0.02
2026,35cc13e2-07c8-47ec-a3f1-171f1c79da4c,K.Murray,ARI,QB,4,703.484,23.104,0.0,0.0,4.732,0.108,0.0,0.1072
2026,fd220237-3c3f-4c15-8aa0-6fe29c030516,P.Rivers,IND,QB,4,708.88,17.008,0.0,0.0,4.44,0.0,0.0,0.02
2026,d0738d0d-7cc8-49b9-882e-a1fb536c47e7,T.Lawrence,JAX,QB,4,692.432,27.92,0.0,0.0,4.672,0.136,0.0,0.1348
2026,a9854c99-01a8-4aff-ade7-a3dbcff01a05,P.Mahomes,KC,QB,4,696.2,18.792,0.0,0.0,4.636,0.08,0.0,0.0788
2026,86721778-e183-4522-8ddc-55e00f17fbe7,J.Herbert,LAC,QB,4,680.384,26.14,0.0,0.0,4.892,0.26,0.0,0.2536
2026,237a8679-0c0a-480b-870d-514d0c50523f,J.Brissett,ARI,QB,4,681.828,20.028,0.0,0.0,4.268,0.0,0.0,0.02
2026,ab213147-61d9-49a3-a662-0e2a31cc80f2,M.Penix,ATL,QB,4,668.488,19.416,0.0,0.0,4.184,0.0,0.0,0.02
2026,71c87791-cb96-4ae5-81b7-b34f7074c8fe,J.Stidham,DEN,QB,4,664.24,20.552,0.0,0.0,4.3,0.048,0.0,0.0456
2026,e4e1a50c-ec36-4d34-aa3f-d930cb755ef1,D.Mills,HOU,QB,4,666.58,18.156,0.0,0.0,4.172,0.0,0.0,0.02
2026,c565508b-56fc-427f-bbad-c16a7809be60,C.Wentz,MIN,QB,4,667.996,16.368,0.0,0.0,4.184,0.0,0.0,0.02
2026,25cc976d-3f53-414e-8503-80d7e5d5a513,T.Tagovailoa,MIA,QB,4,658.132,18.192,0.0,0.0,4.12,0.0,0.0,0.02
2026,56c2266e-4dc1-4c37-8f44-6323a36613de,B.Mayfield,TB,QB,4,649.944,21.84,0.0,0.0,4.068,0.0,0.0,0.02
2026,2dc8197d-32c4-4dd0-b6fe-204644d5c94e,C.Oladokun,KC,QB,4,653.652,17.608,0.0,0.0,4.092,0.0,0.0,0.02
2026,da4478fb-6db4-42cc-94a5-bc33107fdd43,C.Tune,GB,QB,4,650.248,19.968,0.0,0.0,4.072,0.0,0.0,0.02
