season,player_key,player_name,team,position,games_projected,pass_yards_total,rush_yards_total,receiving_yards_total,receptions_total,pass_tds_total,rush_tds_total,rec_tds_total,anytime_td_prob
2026,MIA-QB1-MalikWillis,Malik Willis,MIA,QB,17,4592.067,115.038,0.0,0.0,25.083,1.635,0.0,0.805
2026,MIN-QB1-KylerMurray,Kyler Murray,MIN,QB,17,4453.233,122.781,0.0,0.0,23.695,1.77,0.0,0.8297
2026,CIN-QB1-JoeBurrow,Joe Burrow,CIN,QB,17,4372.92,120.546,0.0,0.0,23.245,1.751,0.0,0.8264
2026,JAX-QB1-TrevorLawrence,Trevor Lawrence,JAX,QB,17,4352.184,136.798,0.0,0.0,24.169,1.699,0.0,0.8171
2026,CAR-QB1-BryceYoung,Bryce Young,CAR,QB,17,4329.762,137.521,0.0,0.0,25.386,1.607,0.0,0.7995
2026,DAL-QB1-DakPrescott,Dak Prescott,DAL,QB,17,4320.939,126.064,0.0,0.0,23.161,1.723,0.0,0.8215
2026,WAS-QB1-JaydenDaniels,Jayden Daniels,WAS,QB,17,4309.076,133.95,0.0,0.0,23.807,1.724,0.0,0.8216
2026,KC-QB1-PatrickMahomes,Patrick Mahomes,KC,QB,17,4307.192,116.275,0.0,0.0,22.492,1.736,0.0,0.8238
2026,NYG-QB1-JaxsonDart,Jaxson Dart,NYG,QB,17,4298.43,136.882,0.0,0.0,24.818,1.575,0.0,0.793
2026,ARI-QB1-JacobyBrissett,Jacoby Brissett,ARI,QB,17,4297.481,132.298,0.0,0.0,24.749,1.665,0.0,0.8108
2026,TB-QB1-BakerMayfield,Baker Mayfield,TB,QB,17,4296.607,129.269,0.0,0.0,22.791,1.743,0.0,0.825
2026,LA-QB1-MatthewStafford,Matthew Stafford,LA,QB,17,4281.09,123.741,0.0,0.0,23.958,1.684,0.0,0.8144
2026,NO-QB1-TylerShough,Tyler Shough,NO,QB,17,4263.746,138.001,0.0,0.0,23.165,1.586,0.0,0.7953
2026,LV-QB1-KirkCousins,Kirk Cousins,LV,QB,17,4256.55,134.227,0.0,0.0,25.233,1.571,0.0,0.7922
2026,LAC-QB1-JustinHerbert,Justin Herbert,LAC,QB,17,4252.071,122.85,0.0,0.0,23.391,1.698,0.0,0.817
2026,SEA-QB1-SamDarnold,Sam Darnold,SEA,QB,17,4246.138,131.791,0.0,0.0,22.928,1.812,0.0,0.8367
2026,IND-QB1-DanielJones,Daniel Jones,IND,QB,17,4240.389,137.573,0.0,0.0,24.146,1.598,0.0,0.7977
2026,DET-QB1-JaredGoff,Jared Goff,DET,QB,17,4210.405,128.929,0.0,0.0,21.195,1.956,0.0,0.8586
2026,ATL-QB1-TuaTagovailoa,Tua Tagovailoa,ATL,QB,17,4177.953,135.655,0.0,0.0,23.156,1.789,0.0,0.8329
2026,CHI-QB1-CalebWilliams,Caleb Williams,CHI,QB,17,4175.359,140.846,0.0,0.0,24.082,1.774,0.0,0.8303
2026,GB-QB1-JordanLove,Jordan Love,GB,QB,17,4169.954,129.644,0.0,0.0,22.632,1.832,0.0,0.8399
2026,NYJ-QB1-GenoSmith,Geno Smith,NYJ,QB,17,4102.399,138.571,0.0,0.0,23.102,1.717,0.0,0.8204
2026,DEN-QB1-BoNix,Bo Nix,DEN,QB,17,4102.335,133.879,0.0,0.0,22.29,1.927,0.0,0.8544
2026,TEN-QB1-CamWard,Cam Ward,TEN,QB,17,4101.377,150.672,0.0,0.0,23.88,1.645,0.0,0.807
2026,BUF-QB1-JoshAllen,Josh Allen,BUF,QB,17,4065.915,128.478,0.0,0.0,22.33,1.735,0.0,0.8236
2026,HOU-QB1-C.J.Stroud,C.J. Stroud,HOU,QB,17,4052.436,133.415,0.0,0.0,21.755,1.882,0.0,0.8477
2026,NE-QB1-DrakeMaye,Drake Maye,NE,QB,17,4052.162,143.264,0.0,0.0,24.334,1.739,0.0,0.8243
2026,CLE-QB1-DeshaunWatson,Deshaun Watson,CLE,QB,17,3847.778,149.595,0.0,0.0,21.386,1.87,0.0,0.8459
2026,SF-QB1-BrockPurdy,Brock Purdy,SF,QB,17,3840.577,135.083,0.0,0.0,19.624,2.082,0.0,0.8753
2026,PIT-QB1-AaronRodgers,Aaron Rodgers,PIT,QB,17,3804.992,146.822,0.0,0.0,20.991,1.866,0.0,0.8453
2026,PHI-QB1-JalenHurts,Jalen Hurts,PHI,QB,17,3738.026,147.12,0.0,0.0,19.15,2.1,0.0,0.8775
2026,BAL-QB1-LamarJackson,Lamar Jackson,BAL,QB,17,3603.617,149.736,0.0,0.0,19.223,2.106,0.0,0.8783
2026,PHI-RB1-SaquonBarkley,Saquon Barkley,PHI,RB,17,0.0,1123.414,260.569,33.38,0.0,10.782,1.903,0.9999
2026,BAL-RB1-DerrickHenry,Derrick Henry,BAL,RB,17,0.0,1096.0,253.421,33.085,0.0,10.631,2.026,0.9999
2026,NYG-WR1-MalikNabers,Malik Nabers,NYG,WR,17,0.0,0.0,1033.886,90.814,0.0,0.0,6.112,0.9978
2026,SF-RB1-ChristianMcCaffrey,Christian McCaffrey,SF,RB,17,0.0,1030.653,270.093,35.323,0.0,10.177,2.028,0.9999
2026,MIA-WR1-MalikWashington,Malik Washington,MIA,WR,17,0.0,0.0,1009.695,89.316,0.0,0.0,5.735,0.9968
2026,DET-RB1-JahmyrGibbs,Jahmyr Gibbs,DET,RB,17,0.0,1007.543,292.9,37.641,0.0,9.874,2.239,0.9999
2026,CAR-WR1-TetairoaMcMillan,Tetairoa McMillan,CAR,WR,17,0.0,0.0,980.303,86.329,0.0,0.0,5.97,0.9974
2026,MIN-WR1-JustinJefferson,Justin Jefferson,MIN,WR,17,0.0,0.0,979.229,84.769,0.0,0.0,5.521,0.996
2026,PIT-RB1-JaylenWarren,Jaylen Warren,PIT,RB,17,0.0,975.318,270.725,35.452,0.0,9.092,2.166,0.9999
2026,JAX-WR1-BrianThomasJr.,Brian Thomas Jr.,JAX,WR,17,0.0,0.0,964.392,83.61,0.0,0.0,5.561,0.9962
2026,CLE-RB1-QuinshonJudkins,Quinshon Judkins,CLE,RB,17,0.0,963.348,272.062,35.481,0.0,8.959,2.155,0.9999
2026,LV-WR1-TreTucker,Tre Tucker,LV,WR,17,0.0,0.0,958.84,85.14,0.0,0.0,5.845,0.9971
2026,HOU-RB1-DavidMontgomery,David Montgomery,HOU,RB,17,0.0,957.206,285.095,37.036,0.0,9.247,2.188,0.9999
2026,WAS-WR1-TerryMcLaurin,Terry McLaurin,WAS,WR,17,0.0,0.0,956.261,82.963,0.0,0.0,5.56,0.9962
2026,ARI-WR1-MarvinHarrisonJr.,Marvin Harrison Jr.,ARI,WR,17,0.0,0.0,953.629,84.789,0.0,0.0,5.8,0.997
