season,player_key,player_name,team,position,games_projected,pass_yards_total,rush_yards_total,receiving_yards_total,receptions_total,pass_tds_total,rush_tds_total,rec_tds_total,anytime_td_prob,ints_total,snap_share,target_share,carry_share,is_rookie,draft_round
2026,CIN-QB1-JoeBurrow,Joe Burrow,CIN,QB,17,4813.147,100.29571499481293,0.0,0.0,38.2520734216502,0.8306336904510784,0.0,0.5642269464151384,13.254,0.55,0.0,0.08,,
2026,LA-QB1-MatthewStafford,Matthew Stafford,LA,QB,17,4540.29,197.45718889603805,0.0,0.0,37.15588762261548,1.751243781094527,0.0,0.8264420589374506,11.984,0.55,0.0,0.08,,
2026,DAL-QB1-DakPrescott,Dak Prescott,DAL,QB,17,4516.307,197.45718889603802,0.0,0.0,37.24481242610894,1.7098793441398976,0.0,0.8191123835485463,12.168,0.55,0.0,0.08,,
2026,KC-QB1-PatrickMahomes,Patrick Mahomes,KC,QB,17,4376.376,100.29571499481293,0.0,0.0,36.61635370131004,0.8341138918272708,0.0,0.5657408884562976,12.045,0.55,0.0,0.08,,
2026,DEN-QB1-BoNix,Bo Nix,DEN,QB,17,4220.114,144.3454403252182,0.0,0.0,35.493150320538405,1.2248522763864835,0.0,0.70619890152209,11.477,0.55,0.0,0.08,,
2026,DET-QB1-JaredGoff,Jared Goff,DET,QB,17,4114.351,142.05894724106992,0.0,0.0,35.31883206704773,1.2182161126703988,0.0,0.7042427056937526,11.184,0.55,0.0,0.08,,
2026,ARI-QB1-KylerMurray,Kyler Murray,ARI,QB,17,4082.622,100.29571499481291,0.0,0.0,31.673195072520066,0.7773268767766947,0.0,0.5403669736897463,11.486,0.55,0.0,0.08,,
2026,SEA-QB1-SamDarnold,Sam Darnold,SEA,QB,17,3974.642,197.45718889603802,0.0,0.0,35.467,1.7078977069302037,0.0,0.8187535745197688,10.891,0.55,0.0,0.08,,
2026,LAC-QB1-JustinHerbert,Justin Herbert,LAC,QB,17,3902.387,116.44381209434438,0.0,0.0,33.4857382374133,0.9087341413872998,0.0,0.5969659145724155,11.105,0.55,0.0,0.08,,
2026,IND-QB1-DanielJones,Daniel Jones,IND,QB,17,3864.554,150.68527263215864,0.0,0.0,33.31978918031086,1.3151971205451414,0.0,0.731578593350072,10.379,0.55,0.0,0.08,,
2026,SF-QB1-BrockPurdy,Brock Purdy,SF,QB,17,3775.342,197.45718889603793,0.0,0.0,32.59363708565008,1.6925076330520168,0.0,0.8159426035987429,10.184,0.55,0.0,0.08,,
2026,CHI-QB1-CalebWilliams,Caleb Williams,CHI,QB,17,3768.249,197.45718889603793,0.0,0.0,32.41038012144135,1.6340978820314611,0.0,0.8048716793120392,10.328,0.55,0.0,0.08,,
2026,HOU-QB1-C.J.Stroud,C.J. Stroud,HOU,QB,17,3742.838,195.17720150958152,0.0,0.0,32.50859530259863,1.5697381874499963,0.0,0.7919003416723354,10.571,0.55,0.0,0.08,,
2026,JAX-QB1-TrevorLawrence,Trevor Lawrence,JAX,QB,17,3701.363,197.45718889603796,0.0,0.0,32.16131663867265,1.6449576203148208,0.0,0.8069792572212601,10.193,0.55,0.0,0.08,,
2026,TB-QB1-BakerMayfield,Baker Mayfield,TB,QB,17,3669.029,197.45718889603796,0.0,0.0,31.952205421737204,1.6121326270883456,0.0,0.8005382174339576,10.199,0.55,0.0,0.08,,
2026,NO-QB1-TylerShough,Tyler Shough,NO,QB,17,3744.762,100.29571499481291,0.0,0.0,32.51371323710406,0.7775506000190853,0.0,0.5404697927787634,10.781,0.55,0.0,0.08,,
2026,TEN-QB1-CamWard,Cam Ward,TEN,QB,17,3694.502,100.29571499481297,0.0,0.0,32.12973419382828,0.7632063367994616,0.0,0.5338306676873901,10.701,0.55,0.0,0.08,,
2026,BUF-QB1-JoshAllen,Josh Allen,BUF,QB,17,3573.501,197.45718889603802,0.0,0.0,31.38701668435944,1.7243752107718466,0.0,0.8217155928404061,9.54,0.55,0.0,0.08,,
2026,PIT-QB1-AaronRodgers,Aaron Rodgers,PIT,QB,17,3575.763,100.29571499481293,0.0,0.0,31.04265593108812,0.8101011490927544,0.0,0.5551869284912362,9.952,0.55,0.0,0.08,,
2026,GB-QB1-JordanLove,Jordan Love,GB,QB,17,3464.85,197.45718889603796,0.0,0.0,30.488853319164033,1.717553429007029,0.0,0.820495217688899,9.261,0.55,0.0,0.08,,
2026,ATL-QB2-MichaelPenixJr,Michael Penix Jr.,ATL,QB,17,3406.535,197.45718889603796,0.0,0.0,30.166597830669993,1.6054278233324513,0.0,0.7991963719465366,9.527,0.55,0.0,0.08,,
2026,BAL-QB1-LamarJackson,Lamar Jackson,BAL,QB,17,3344.597,197.4571888960379,0.0,0.0,35.46610288014307,1.751243781094527,0.0,0.8264420589374506,9.245,0.55,0.0,0.08,,
2026,NYG-QB1-JaxsonDart,Jaxson Dart,NYG,QB,17,3321.303,197.45718889603796,0.0,0.0,29.614039631376148,1.5845062675990966,0.0,0.7949509925329012,9.338,0.55,0.0,0.08,,
2026,NE-QB1-DrakeMaye,Drake Maye,NE,QB,17,3314.419,197.45718889603796,0.0,0.0,29.274838400310067,1.659279077088381,0.0,0.8097238949290053,9.063,0.55,0.0,0.08,,
2026,LV-QB1-KirkCousins,Kirk Cousins,LV,QB,17,3357.787,100.29571499481293,0.0,0.0,29.445986771315408,0.7315980528066055,0.0,0.5188605109085633,9.9,0.55,0.0,0.08,,
2026,MIA-QB1-TuaTagovailoa,Tua Tagovailoa,MIA,QB,17,3325.165,91.41998800412149,0.0,0.0,29.798729250413302,0.7353748810723076,0.0,0.5206742648561078,9.4,0.55,0.0,0.08,,
2026,CAR-QB1-BryceYoung,Bryce Young,CAR,QB,17,3265.483,124.47043514620387,0.0,0.0,28.797006621146384,0.9653420364610926,0.0,0.6191470881231674,9.271,0.55,0.0,0.08,,
