season,team,conference,division,expected_wins,sim_expected_wins,wins_p10,wins_p90,playoff_prob,division_title_prob,super_bowl_win_prob,points_for,points_against,point_diff,pass_yards_allowed,rush_yards_allowed,ints_forced,sacks,takeaways,ppg,pa_pg
2026,HOU,AFC,AFC South,13.157,10.1732,10,16,0.99636,0.335663,0.090917,427.41,327.79,99.62,3868.0,1815.7,15.11,47.37,15.11,25.142,19.282
2026,JAX,AFC,AFC South,13.1568,9.8105,10,16,0.996358,0.335579,0.090895,427.4,327.84,99.56,3945.8,1838.5,15.11,47.37,15.11,25.141,19.285
2026,ATL,NFC,NFC South,13.1552,8.8426,10,16,0.996351,0.987876,0.090749,427.14,327.99,99.15,3962.1,1910.1,7.28,47.37,7.28,25.126,19.293
2026,CHI,NFC,NFC North,13.155,8.4248,10,16,0.99635,0.988034,0.090732,427.42,328.25,99.18,3936.1,1986.1,7.28,25.84,7.28,25.143,19.309
2026,BUF,AFC,AFC East,13.1542,10.2746,10,16,0.996346,0.50078,0.090658,427.36,328.37,98.99,3980.8,1986.1,7.28,47.37,7.28,25.139,19.316
2026,SEA,NFC,NFC West,13.1537,10.8209,10,16,0.996343,0.942149,0.090614,427.51,328.59,98.92,3815.0,2116.3,15.11,47.37,15.11,25.147,19.329
2026,NE,AFC,AFC East,13.1509,10.0068,10,16,0.996329,0.499126,0.090358,426.93,328.75,98.18,4033.9,2002.5,7.28,47.37,7.28,25.114,19.338
2026,BAL,AFC,AFC North,13.1459,9.0174,10,16,0.996304,0.945266,0.089906,427.47,330.2,97.27,3892.4,2163.2,15.11,25.84,15.11,25.145,19.424
2026,PHI,NFC,NFC East,13.1446,10.3789,10,16,0.996298,0.948175,0.089797,425.08,328.6,96.48,3949.8,2040.4,15.11,47.37,15.11,25.004,19.329
2026,IND,AFC,AFC South,13.1362,10.1454,10,16,0.996256,0.328726,0.089038,425.13,330.31,94.82,3952.7,2105.8,7.28,25.84,7.28,25.008,19.43
2026,KC,AFC,AFC West,13.0086,9.3761,10,16,0.995556,0.999459,0.078377,404.37,331.11,73.26,3997.2,2105.8,15.11,47.37,15.11,23.787,19.477
2026,CIN,AFC,AFC North,10.2918,7.2306,7,13,0.851182,0.054455,0.005179,440.68,424.28,16.39,3823.8,2043.5,7.28,25.84,7.28,25.922,24.958
2026,LA,NFC,NFC West,10.1179,11.1074,7,13,0.818934,0.045256,0.004353,438.23,423.54,14.69,3903.5,1891.6,15.11,47.37,15.11,25.778,24.914
2026,DAL,NFC,NFC East,9.8132,6.8868,7,13,0.749844,0.033888,0.003209,436.0,424.09,11.91,3867.9,1967.6,7.28,25.84,7.28,25.647,24.947
2026,SF,NFC,NFC West,8.8318,8.6007,6,12,0.443462,0.012506,0.001203,427.43,423.75,3.68,4005.6,1834.2,15.11,25.84,15.11,25.143,24.926
2026,TB,NFC,NFC South,8.7349,8.4623,6,12,0.411462,0.011884,0.001092,427.39,424.47,2.91,3844.5,2163.2,15.11,25.84,15.11,25.14,24.969
2026,GB,NFC,NFC North,8.7163,9.4424,6,12,0.405395,0.01167,0.001072,427.23,424.47,2.77,3912.9,2105.8,7.28,25.84,7.28,25.131,24.969
2026,NYG,NFC,NFC East,8.6899,7.0769,6,12,0.396827,0.01102,0.001044,426.94,424.38,2.56,3979.3,1989.8,7.28,25.84,7.28,25.114,24.964
2026,WAS,NFC,NFC East,8.2241,6.5851,5,11,0.259713,0.006917,0.000655,423.29,424.43,-1.13,3911.6,2087.3,15.11,25.84,15.11,24.9,24.966
2026,DEN,AFC,AFC West,4.8188,10.5349,2,8,0.003524,0.000277,2.2e-05,299.82,329.99,-30.17,3940.7,2105.8,15.11,47.37,15.11,17.636,19.411
2026,DET,NFC,NFC North,4.3664,10.5716,1,7,0.001916,0.000151,1.4e-05,287.46,327.85,-40.39,3865.3,1891.6,7.28,47.37,7.28,16.909,19.285
2026,NO,NFC,NFC South,4.3341,8.8343,1,7,0.001835,0.000146,1.3e-05,286.47,327.94,-41.47,3995.9,1901.2,7.28,47.37,7.28,16.851,19.291
2026,MIN,NFC,NFC North,4.334,8.2287,1,7,0.001835,0.000146,1.3e-05,286.52,328.0,-41.48,3961.2,1951.7,7.28,47.37,7.28,16.854,19.294
2026,PIT,AFC,AFC North,4.3323,8.2271,1,7,0.00183,0.000141,1.3e-05,286.48,328.02,-41.54,4043.6,1910.1,7.28,25.84,7.28,16.852,19.295
2026,CLE,AFC,AFC North,4.3141,8.68,1,7,0.001786,0.000138,1.3e-05,286.53,328.81,-42.28,3919.9,2062.0,15.11,47.37,15.11,16.854,19.341
2026,LAC,AFC,AFC West,4.2349,8.5538,1,7,0.001605,0.000155,1.2e-05,286.48,332.37,-45.9,3983.8,2134.2,15.11,47.37,15.11,16.852,19.551
2026,ARI,NFC,NFC West,3.8882,6.404,1,7,0.001006,8.9e-05,9e-06,286.47,423.72,-137.25,3823.0,1919.1,15.11,25.84,15.11,16.851,24.924
2026,NYJ,AFC,AFC East,3.888,4.7683,1,7,0.001006,4.7e-05,9e-06,286.5,424.0,-137.5,4079.4,1848.9,7.28,25.84,7.28,16.853,24.941
2026,TEN,AFC,AFC South,3.8879,5.9256,1,7,0.001005,3.2e-05,9e-06,286.47,424.13,-137.65,3970.2,1910.1,7.28,25.84,7.28,16.851,24.949
2026,LV,AFC,AFC West,3.8879,5.8851,1,7,0.001005,0.000109,9e-06,286.51,424.26,-137.75,3939.1,1990.2,15.11,25.84,15.11,16.853,24.956
2026,CAR,NFC,NFC South,3.8878,6.54,1,7,0.001005,9.3e-05,9e-06,286.59,424.42,-137.83,3886.5,2087.3,7.28,25.84,7.28,16.858,24.966
2026,MIA,AFC,AFC East,3.8877,6.1833,1,7,0.001005,4.7e-05,9e-06,286.51,424.5,-137.99,4004.9,2134.2,7.28,25.84,7.28,16.853,24.97
