season,team,conference,division,expected_wins,wins_p10,wins_p90,playoff_prob,division_title_prob,super_bowl_win_prob
2026,BUF,AFC,AFC East,12.8297,11,15,0.85225,0.5177,0.09095
2026,SEA,NFC,NFC West,12.746,11,15,0.91125,0.5813,0.12885
2026,CHI,NFC,NFC North,12.7283,10,15,0.7878,0.54115,0.058
2026,JAX,AFC,AFC South,12.7209,11,15,0.73245,0.30605,0.0531
2026,NE,AFC,AFC East,12.6634,10,15,0.8294,0.47765,0.07855
2026,ATL,NFC,NFC South,12.6537,10,15,0.8569,0.73685,0.07715
2026,PHI,NFC,NFC East,12.6251,10,15,0.8832,0.7828,0.0926
2026,KC,AFC,AFC West,12.5918,10,15,0.78865,0.56645,0.0639
2026,HOU,AFC,AFC South,12.5838,10,15,0.7955,0.3908,0.07255
2026,BAL,AFC,AFC North,12.5517,10,15,0.77375,0.66855,0.05545
2026,IND,AFC,AFC South,11.6631,9,14,0.73425,0.302,0.0504
2026,LAR,NFC,NFC West,9.6938,7,12,0.8314,0.36515,0.0708
2026,DAL,NFC,NFC East,9.3417,7,12,0.353,0.1404,0.00705
2026,CIN,AFC,AFC North,8.8991,6,11,0.3333,0.1858,0.006
2026,DEN,AFC,AFC West,8.7985,6,11,0.66155,0.37835,0.0364
2026,DET,NFC,NFC North,7.0459,5,10,0.5766,0.2703,0.02185
2026,SF,NFC,NFC West,6.8673,4,9,0.30045,0.04965,0.0059
2026,TB,NFC,NFC South,6.8092,4,9,0.3259,0.1317,0.006
2026,GB,NFC,NFC North,6.7315,4,9,0.3529,0.12455,0.0074
2026,NYG,NFC,NFC East,6.6881,4,9,0.17395,0.05905,0.002
2026,NO,NFC,NFC South,6.1689,4,9,0.2954,0.1168,0.00535
2026,PIT,AFC,AFC North,6.1473,4,9,0.13545,0.06825,0.0023
2026,MIN,NFC,NFC North,6.0157,4,9,0.20665,0.064,0.0026
2026,CLE,AFC,AFC North,5.9119,3,8,0.1538,0.0774,0.00225
2026,LAC,AFC,AFC West,5.8725,3,8,0.14165,0.0486,0.002
2026,WAS,NFC,NFC East,5.5666,3,8,0.05795,0.01775,0.0002
2026,CAR,NFC,NFC South,4.632,2,7,0.04725,0.01465,0.0002
2026,ARI,NFC,NFC West,4.5856,2,7,0.0394,0.0039,5e-05
2026,NYJ,AFC,AFC East,4.5376,2,7,0.01775,0.0023,0.0
2026,LV,AFC,AFC West,4.4904,2,7,0.02305,0.0066,5e-05
2026,TEN,AFC,AFC South,4.4432,2,7,0.01125,0.00115,0.0001
2026,MIA,AFC,AFC East,4.3957,2,7,0.01595,0.00235,0.0
