season,team,points_for,points_against,point_diff,expected_wins,pass_yards_allowed,rush_yards_allowed,ints_forced,sacks,takeaways,ppg,pa_pg
2026,CHI,409.37,330.82,78.55,8.7469,3905.8,1940.4,7.8,26.58,7.8,24.08,19.46
2026,JAX,408.81,330.41,78.4,9.8954,3955.6,1870.4,15.0,46.64,15.0,24.048,19.436
2026,LAR,425.6,347.92,77.68,11.1073,3946.6,1923.4,7.78,35.38,7.78,25.035,20.466
2026,DEN,409.5,332.74,76.77,10.5456,3888.6,2077.8,15.0,46.64,15.0,24.088,19.573
2026,BUF,407.44,331.06,76.37,10.3394,3963.2,1936.9,7.8,46.64,7.8,23.967,19.474
2026,SEA,408.29,334.12,74.17,10.738,3792.8,2180.1,15.0,46.64,15.0,24.017,19.654
2026,ATL,402.57,330.44,72.14,9.3471,3972.1,1857.8,7.8,46.64,7.8,23.681,19.437
2026,KC,405.99,334.39,71.6,9.3739,3988.4,2072.0,15.0,46.64,15.0,23.882,19.67
2026,NE,403.7,333.84,69.85,9.9945,4029.3,2040.8,7.8,46.64,7.8,23.747,19.638
2026,PHI,401.05,333.65,67.4,10.3516,3920.5,2096.2,15.0,46.64,15.0,23.591,19.626
2026,BAL,405.42,339.93,65.49,9.1434,3857.3,2217.8,15.0,26.58,15.0,23.848,19.996
2026,CIN,439.8,425.43,14.37,7.7527,3827.3,2088.6,7.8,26.58,7.8,25.87,25.025
2026,DAL,438.21,425.18,13.03,7.4679,3883.9,2012.5,7.8,26.58,7.8,25.777,25.011
2026,DET,315.49,330.47,-14.99,10.6511,3870.7,1932.0,7.8,46.64,7.8,18.558,19.44
2026,HOU,326.57,330.17,-3.61,10.3249,3889.3,1857.4,15.0,46.64,15.0,19.21,19.422
2026,ARI,419.15,424.47,-5.33,6.6964,3811.4,1942.2,15.0,26.58,15.0,24.656,24.969
2026,PIT,310.15,330.7,-20.55,8.1135,4098.4,1845.5,7.8,26.58,7.8,18.244,19.453
2026,GB,406.95,425.55,-18.6,9.1483,3860.0,2076.2,7.8,26.58,7.8,23.938,25.032
2026,IND,321.49,333.15,-11.66,10.2933,3916.4,2078.5,7.8,26.58,7.8,18.911,19.597
2026,SF,408.78,423.62,-14.84,8.3986,4038.6,1775.0,15.0,26.58,15.0,24.046,24.919
2026,NO,309.36,330.83,-21.47,8.8357,4039.6,1891.3,7.8,46.64,7.8,18.197,19.461
2026,NYG,406.49,425.56,-19.07,7.109,3962.3,2031.2,7.8,26.58,7.8,23.911,25.033
2026,LAC,310.65,334.48,-23.83,8.2896,3981.7,2077.4,15.0,46.64,15.0,18.273,19.675
2026,LV,311.32,425.19,-113.88,6.2345,3976.1,1964.2,15.0,26.58,15.0,18.313,25.011
2026,MIN,307.16,331.24,-24.08,8.29,4014.2,1952.8,7.8,46.64,7.8,18.068,19.485
2026,TB,405.19,425.83,-20.64,8.0808,3799.7,2222.5,15.0,26.58,15.0,23.834,25.049
2026,CAR,310.1,425.7,-115.6,6.3291,3856.6,2149.0,7.8,26.58,7.8,18.241,25.041
2026,CLE,306.95,331.57,-24.62,8.1873,3884.3,2019.3,15.0,46.64,15.0,18.056,19.504
2026,WAS,395.04,425.74,-30.69,5.8856,3903.4,2137.5,15.0,26.58,15.0,23.238,25.043
2026,NYJ,308.64,424.68,-116.04,5.3694,4138.7,1809.5,7.8,26.58,7.8,18.155,24.981
2026,TEN,307.83,424.55,-116.72,5.5195,4017.7,1845.0,7.8,26.58,7.8,18.108,24.973
2026,MIA,306.16,425.75,-119.59,5.4397,4003.8,2078.9,7.8,26.58,7.8,18.01,25.044
