season,predictor,n_spread,spread_mae,spread_rmse,spread_bias,n_total,total_mae,total_rmse,total_bias
2023,packaged,0,,,,0,,,
2023,trailing,285,9.7881,12.8038,1.7959,285,10.1941,13.0031,0.5143
2023,record,285,10.9877,14.2991,1.8739,285,10.8338,13.7188,1.3271
2023,pickem,285,11.2947,14.6729,2.9228,285,10.8818,13.762,1.5
2023,hfa_only,285,11.1609,14.5003,1.8728,285,10.8818,13.762,1.5
2023,prev_year_mean,285,11.0833,14.4031,0.8348,285,10.8818,13.762,1.5
2023,market,285,9.9842,13.174,1.1316,285,10.1684,13.057,-0.6737
2023,july31,0,,,,0,,,
2024,packaged,285,10.975,14.2892,1.1821,285,10.0046,13.092,-1.5879
2024,trailing,285,9.4901,12.3266,1.1144,285,9.5501,12.4543,-0.4848
2024,record,285,10.6867,13.846,1.1835,285,10.1253,13.2081,-0.8886
2024,pickem,285,11.3018,14.6205,2.2772,285,10.1204,13.2028,-0.7175
2024,hfa_only,285,11.2037,14.4941,1.2272,285,10.1204,13.2028,-0.7175
2024,prev_year_mean,285,11.1501,14.4565,-0.6456,285,10.1204,13.2028,-0.7175
2024,market,285,9.7035,12.7205,0.6789,285,9.7684,12.5866,-1.5333
2024,july31,0,,,,0,,,
2025,packaged,285,10.8245,13.9685,1.0294,285,10.8207,13.639,-0.2891
2025,trailing,285,9.2117,12.0246,0.855,285,10.2114,12.9467,-0.3221
2025,record,285,10.559,13.6545,1.0581,285,10.981,13.8455,-0.8214
2025,pickem,285,11.0877,14.2777,2.0281,285,10.9961,13.8398,-0.6579
2025,hfa_only,285,11.0198,14.1667,0.9781,285,10.9961,13.8398,-0.6579
2025,prev_year_mean,285,11.0072,14.1351,-0.2491,285,10.9961,13.8398,-0.6579
2025,market,285,9.6702,12.2448,0.607,285,10.4228,13.2373,-1.0789
2025,july31,0,,,,0,,,
2026,packaged,16,12.6044,14.7838,-0.8431,16,13.2488,17.9091,-4.4865
2026,trailing,16,12.5282,14.6279,-0.5835,16,13.1606,17.6378,-4.0294
2026,record,16,11.8063,14.1451,-0.2375,16,13.4375,17.9854,-4.594
2026,pickem,16,12.0625,14.1664,0.8125,16,13.4375,17.8743,-4.1375
2026,hfa_only,16,11.8063,14.1451,-0.2375,16,13.4375,17.8743,-4.1375
2026,prev_year_mean,16,11.6875,14.1952,-1.2156,16,13.4375,17.8743,-4.1375
2026,market,16,11.9062,14.0373,-1.7188,16,11.9375,17.1792,-4.375
2026,july31,16,12.1913,14.1812,-2.1963,16,13.5125,18.3588,-6.275
