season,week,game_date,key,home,away,home_score,away_score,actual_spread_home,actual_total,market_spread_home,market_total,packaged_spread,packaged_total,trailing_spread,trailing_total,record_spread,record_total,packaged_spread_err,packaged_total_err,trailing_spread_err,trailing_total_err,market_spread_err,market_total_err,pickem_spread_err,hfa_only_spread_err,divisional,early_season,roof,packaged_epa_gap,trailing_epa_gap
2013,1,2013-09-08,ARI@STL,STL,ARI,27.0,24.0,-3.0,51.0,-3.5,42.5,,,,,-1.05,44.8435,,,,,-0.5,-8.5,3.0,1.95,,True,dome,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,1,2013-09-08,ATL@NO,NO,ATL,23.0,17.0,-6.0,40.0,-3.5,54.5,,,,,-1.05,44.8435,,,,,2.5,14.5,6.0,4.95,True,True,dome,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,1,2013-09-05,BAL@DEN,DEN,BAL,49.0,27.0,-22.0,76.0,-7.5,48.5,,,,,-1.05,44.8435,,,,,14.5,-27.5,22.0,20.95,False,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,1,2013-09-08,CIN@CHI,CHI,CIN,24.0,21.0,-3.0,45.0,-3.0,41.5,,,,,-1.05,44.8435,,,,,0.0,-3.5,3.0,1.95,False,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,1,2013-09-08,GB@SF,SF,GB,34.0,28.0,-6.0,62.0,-5.0,47.0,,,,,-1.05,44.8435,,,,,1.0,-15.0,6.0,4.95,False,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,1,2013-09-09,HOU@SD,SD,HOU,28.0,31.0,3.0,59.0,5.0,44.0,,,,,-1.05,44.8435,,,,,2.0,-15.0,-3.0,-4.05,,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,1,2013-09-08,KC@JAX,JAX,KC,2.0,28.0,26.0,30.0,3.5,42.5,,,,,-1.05,44.8435,,,,,-22.5,12.5,-26.0,-27.05,False,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,1,2013-09-08,MIA@CLE,CLE,MIA,10.0,23.0,13.0,33.0,-2.5,40.5,,,,,-1.05,44.8435,,,,,-15.5,7.5,-13.0,-14.05,False,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,1,2013-09-08,MIN@DET,DET,MIN,34.0,24.0,-10.0,58.0,-4.0,46.0,,,,,-1.05,44.8435,,,,,6.0,-12.0,10.0,8.95,True,True,dome,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,1,2013-09-08,NE@BUF,BUF,NE,21.0,23.0,2.0,44.0,10.0,50.5,,,,,-1.05,44.8435,,,,,8.0,6.5,-2.0,-3.05,True,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,1,2013-09-08,NYG@DAL,DAL,NYG,36.0,31.0,-5.0,67.0,-3.5,49.5,,,,,-1.05,44.8435,,,,,1.5,-17.5,5.0,3.95,True,True,closed,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,1,2013-09-08,OAK@IND,IND,OAK,21.0,17.0,-4.0,38.0,-11.0,45.0,,,,,-1.05,44.8435,,,,,-7.0,7.0,4.0,2.95,,True,closed,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,1,2013-09-09,PHI@WSH,WSH,PHI,27.0,33.0,6.0,60.0,-4.0,51.0,,,,,-1.05,44.8435,,,,,-10.0,-9.0,-6.0,-7.05,True,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,1,2013-09-08,SEA@CAR,CAR,SEA,7.0,12.0,5.0,19.0,3.0,44.5,,,,,-1.05,44.8435,,,,,-2.0,25.5,-5.0,-6.05,False,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,1,2013-09-08,TB@NYJ,NYJ,TB,18.0,17.0,-1.0,35.0,4.0,40.0,,,,,-1.05,44.8435,,,,,5.0,5.0,1.0,-0.050000000000000044,False,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,1,2013-09-08,TEN@PIT,PIT,TEN,9.0,16.0,7.0,25.0,-6.0,42.0,,,,,-1.05,44.8435,,,,,-13.0,17.0,-7.0,-8.05,False,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,2,2013-09-15,CAR@BUF,BUF,CAR,24.0,23.0,-1.0,47.0,3.5,43.5,,,,,-1.05,44.8435,,,,,4.5,-3.5,1.0,-0.050000000000000044,False,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,2,2013-09-15,CLE@BAL,BAL,CLE,14.0,6.0,-8.0,20.0,-5.5,43.5,,,,,-1.05,44.8435,,,,,2.5,23.5,8.0,6.95,True,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,2,2013-09-15,DAL@KC,KC,DAL,17.0,16.0,-1.0,33.0,-3.0,45.0,,,,,-1.05,45.3,,,,,-2.0,12.0,1.0,-0.050000000000000044,False,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,2,2013-09-15,DEN@NYG,NYG,DEN,23.0,41.0,18.0,64.0,3.5,52.5,,,,,5.45,45.5201,,,,,-14.5,-11.5,-18.0,-19.05,False,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,2,2013-09-15,DET@ARI,ARI,DET,25.0,21.0,-4.0,46.0,1.0,47.5,,,,,5.45,45.5201,,,,,5.0,1.5,4.0,2.95,False,True,closed,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,2,2013-09-15,JAX@OAK,OAK,JAX,19.0,9.0,-10.0,28.0,-3.5,40.5,,,,,-1.05,44.8435,,,,,6.5,12.5,10.0,8.95,,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,2,2013-09-15,MIA@IND,IND,MIA,20.0,24.0,4.0,44.0,-1.0,43.5,,,,,-1.05,45.3,,,,,-5.0,-0.5,-4.0,-5.05,False,True,open,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,2,2013-09-15,MIN@CHI,CHI,MIN,31.0,30.0,-1.0,61.0,-6.0,41.0,,,,,-7.55,45.5201,,,,,-5.0,-20.0,1.0,-0.050000000000000044,True,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,2,2013-09-15,NO@TB,TB,NO,14.0,16.0,2.0,30.0,3.0,48.5,,,,,5.45,45.5201,,,,,1.0,18.5,-2.0,-3.05,True,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,2,2013-09-12,NYJ@NE,NE,NYJ,13.0,10.0,-3.0,23.0,-10.5,43.0,,,,,-1.05,45.3,,,,,-7.5,20.0,3.0,1.95,True,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,2,2013-09-16,PIT@CIN,CIN,PIT,20.0,10.0,-10.0,30.0,-7.0,40.0,,,,,-1.05,44.8435,,,,,3.0,10.0,10.0,8.95,True,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,2,2013-09-15,SD@PHI,PHI,SD,30.0,33.0,3.0,63.0,-7.5,51.0,,,,,-7.55,45.5201,,,,,-10.5,-12.0,-3.0,-4.05,,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
2013,2,2013-09-15,SF@SEA,SEA,SF,29.0,3.0,-26.0,32.0,-3.0,43.5,,,,,-1.05,45.3,,,,,23.0,11.5,26.0,24.95,True,True,outdoors,no_prior_season_situational_for_packaged_priors,rolling_features_unavailable_pre_2023
